Entry	Status	Gene ontology (molecular function)
Q0E8U8	unreviewed	
Q9V9S3	unreviewed	
Q0E8W6	unreviewed	
Q0E8X7	unreviewed	
Q0E8X8	unreviewed	ATPase binding [GO:0051117]; ATPase inhibitor activity [GO:0042030]
Q9VID5	unreviewed	
Q9W2K2	unreviewed	RNA binding [GO:0003723]; RNA cap binding [GO:0000339]
Q0E919	unreviewed	metal ion binding [GO:0046872]
Q0E938	unreviewed	
Q76NR6	unreviewed	calcium ion binding [GO:0005509]; gluconolactonase activity [GO:0004341]
Q9VX82	unreviewed	actin binding [GO:0003779]; structural constituent of cytoskeleton [GO:0005200]
Q4V3F0	unreviewed	
Q8IN94	reviewed	DNA binding [GO:0003677]
Q8IRM9	unreviewed	RNA binding [GO:0003723]
Q9VC86	unreviewed	
Q9VJ48	unreviewed	
Q9VNC2	unreviewed	histone deacetylase activity [GO:0004407]; metal ion binding [GO:0046872]; NAD-dependent histone deacetylase activity (H3-K14 specific) [GO:0032041]
Q9VTW2	reviewed	inositol trisphosphate phosphatase activity [GO:0046030]; phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity [GO:0004439]
Q9VUR3	reviewed	
Q0E965	unreviewed	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]
Q9W4W8	unreviewed	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270]
Q8MSG8	reviewed	damaged DNA binding [GO:0003684]; DNA 5'-adenosine monophosphate hydrolase activity [GO:0033699]; double-stranded RNA binding [GO:0003725]; metal ion binding [GO:0046872]; mismatched DNA binding [GO:0030983]; single-strand break-containing DNA binding [GO:1990165]; single-stranded DNA binding [GO:0003697]
Q9VRM3	unreviewed	
Q9VXJ7	unreviewed	
Q9W062	reviewed	
X2JAX9	unreviewed	
Q0E9C2	unreviewed	
Q9W1Y0	unreviewed	ATP binding [GO:0005524]; metalloendopeptidase activity [GO:0004222]
Q9VY11	unreviewed	flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity [GO:0016491]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]
Q0E9E2	unreviewed	ATP binding [GO:0005524]; biotin binding [GO:0009374]; metal ion binding [GO:0046872]; pyruvate carboxylase activity [GO:0004736]
Q1WWB7	unreviewed	
Q7KJ73	unreviewed	
Q9VHX9	unreviewed	catalytic activity [GO:0003824]
Q0E9F9	unreviewed	metallocarboxypeptidase activity [GO:0004181]; zinc ion binding [GO:0008270]
Q0E9N0	unreviewed	
Q9VTB3	unreviewed	guanylate kinase activity [GO:0004385]
Q9VUU3	unreviewed	nucleic acid binding [GO:0003676]; protein kinase binding [GO:0019901]
Q0IGR7	unreviewed	nucleic acid binding [GO:0003676]
Q0IGT4	unreviewed	protein dimerization activity [GO:0046983]
Q0KHQ5	reviewed	ATP binding [GO:0005524]; MAP kinase kinase kinase activity [GO:0004709]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]
Q8SY33	reviewed	RNA binding [GO:0003723]
Q9VAC8	reviewed	
Q0KHR2	unreviewed	actin binding [GO:0003779]; actin filament binding [GO:0051015]
X2JGL7	unreviewed	spermine synthase activity [GO:0016768]
Q7JWW6	unreviewed	adenosine kinase activity [GO:0004001]
Q0KHS0	unreviewed	microtubule binding [GO:0008017]
Q0KHV6	unreviewed	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]
Q0KHZ6	unreviewed	electron transfer activity [GO:0009055]
Q7KN94	unreviewed	electron transfer activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity [GO:0016491]
Q9VJF5	unreviewed	
Q7K3D4	unreviewed	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]
Q0KI76	unreviewed	
Q0KI81	unreviewed	protein tyrosine phosphatase activity [GO:0004725]
Q4V6L4	unreviewed	lipase activity [GO:0016298]
Q0KI91	unreviewed	calcium ion binding [GO:0005509]
Q0KIA2	reviewed	catalytic activity [GO:0003824]
Q9VI33	unreviewed	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]
Q9W2F4	unreviewed	carboxylic ester hydrolase activity [GO:0052689]
Q9VH87	unreviewed	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]
Q9VP44	unreviewed	DNA binding [GO:0003677]
Q10714	reviewed	carboxypeptidase activity [GO:0004180]; dipeptidyl-peptidase activity [GO:0008239]; exopeptidase activity [GO:0008238]; metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]; peptidyl-dipeptidase activity [GO:0008241]
Q11002	reviewed	calcium-dependent cysteine-type endopeptidase activity [GO:0004198]; calcium ion binding [GO:0005509]
Q1ECA0	unreviewed	
Q9VNX1	unreviewed	damaged DNA binding [GO:0003684]; DNA-directed DNA polymerase activity [GO:0003887]
Q1LZ24	unreviewed	sequence-specific DNA binding [GO:0043565]; transcription coactivator activity [GO:0003713]
Q9VDF1	unreviewed	metal ion binding [GO:0046872]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]
Q1WWC5	unreviewed	
Q23971	reviewed	
Q8MSY4	reviewed	
Q8T415	unreviewed	calcium ion binding [GO:0005509]; G-protein beta/gamma-subunit complex binding [GO:0031683]; heterotrimeric G-protein binding [GO:0032795]; microtubule binding [GO:0008017]
Q9VZG5	unreviewed	
Q23982	reviewed	
Q9U1K7	unreviewed	protein-disulfide reductase activity [GO:0047134]
Q9VAF2	unreviewed	DNA binding [GO:0003677]
Q9VBD0	unreviewed	structural constituent of chitin-based cuticle [GO:0005214]
Q9VJ72	unreviewed	
Q9VRC3	unreviewed	
Q24008	reviewed	calmodulin binding [GO:0005516]; myosin binding [GO:0017022]; myosin III binding [GO:0031473]; photoreceptor activity [GO:0009881]; receptor signaling complex scaffold activity [GO:0030159]; structural molecule activity [GO:0005198]
Q9VHM8	unreviewed	
Q9VY31	unreviewed	
Q9VEC5	unreviewed	nuclear localization sequence binding [GO:0008139]; protein transporter activity [GO:0008565]; Ran GTPase binding [GO:0008536]
Q24025	reviewed	collagen binding [GO:0005518]; growth factor activity [GO:0008083]
Q24050	unreviewed	
Q9VMQ7	reviewed	phosphorylase kinase regulator activity [GO:0008607]; RNA polymerase II complex binding [GO:0000993]
Q24087	reviewed	damaged DNA binding [GO:0003684]; protein heterodimerization activity [GO:0046982]; single-stranded DNA binding [GO:0003697]; single-stranded DNA endodeoxyribonuclease activity [GO:0000014]
Q59DP4	unreviewed	metal ion binding [GO:0046872]
Q7JZ62	unreviewed	identical protein binding [GO:0042802]
Q95RI5	reviewed	
Q9V3Y5	unreviewed	mRNA binding [GO:0003729]
Q9VF03	unreviewed	DNA binding [GO:0003677]
Q9VJ79	reviewed	3',5'-cyclic-AMP phosphodiesterase activity [GO:0004115]; 3',5'-cyclic-GMP phosphodiesterase activity [GO:0047555]; metal ion binding [GO:0046872]
Q9VK69	unreviewed	ATP binding [GO:0005524]; unfolded protein binding [GO:0051082]
Q9VLT3	unreviewed	endopeptidase inhibitor activity [GO:0004866]; structural molecule activity [GO:0005198]
Q9VQW7	unreviewed	cell adhesion molecule binding [GO:0050839]; epidermal growth factor receptor binding [GO:0005154]
Q9VTZ7	unreviewed	
Q9VZ00	unreviewed	
Q9W1E4	unreviewed	protein phosphatase 1 binding [GO:0008157]; protein phosphatase regulator activity [GO:0019888]
Q9W2S3	reviewed	protein binding, bridging [GO:0030674]
Q9XZ03	unreviewed	protein binding, bridging [GO:0030674]; sequence-specific DNA binding [GO:0043565]; transcription coactivator activity [GO:0003713]
X2J6K6	unreviewed	
Q9VDA3	unreviewed	lipid binding [GO:0008289]
Q9VQ22	unreviewed	
Q24120	reviewed	actin binding [GO:0003779]; microtubule binding [GO:0008017]
Q8IQF8	unreviewed	alcohol dehydrogenase (NADP+) activity [GO:0008106]; alditol:NADP+ 1-oxidoreductase activity [GO:0004032]; oxidoreductase activity [GO:0016491]
Q9VR18	unreviewed	
Q9VZU1	unreviewed	nucleic acid binding [GO:0003676]
Q9W2J4	unreviewed	glucuronosyltransferase activity [GO:0015020]; UDP-glycosyltransferase activity [GO:0008194]
Q9W474	unreviewed	
Q9V4P1	reviewed	actin binding [GO:0003779]; actin filament binding [GO:0051015]; GTP-Rho binding [GO:0017049]; microtubule binding [GO:0008017]; myosin binding [GO:0017022]
Q9VLF0	unreviewed	
Q9VME2	unreviewed	metalloendopeptidase activity [GO:0004222]
Q9VPH7	reviewed	sequence-specific mRNA binding [GO:1990825]; translation release factor activity, codon specific [GO:0016149]; translation termination factor activity [GO:0008079]
Q9W466	unreviewed	
Q8SX40	unreviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; zinc ion binding [GO:0008270]
Q9U405	reviewed	proximal promoter sequence-specific DNA binding [GO:0000987]; zinc ion binding [GO:0008270]
Q9VB72	unreviewed	
Q9VDW9	unreviewed	
Q9VJX3	unreviewed	
Q9VM11	unreviewed	
Q9VMQ3	unreviewed	
Q9VUZ4	unreviewed	
Q24142	reviewed	nuclear receptor activity [GO:0004879]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]
Q24152	reviewed	cyclin-dependent protein serine/threonine kinase activator activity [GO:0061575]; histone binding [GO:0042393]; protein kinase binding [GO:0019901]; ubiquitin binding [GO:0043130]
Q7JXA2	unreviewed	
Q24155	reviewed	receptor ligand activity [GO:0048018]; torso binding [GO:0005122]
Q24157	reviewed	acetylgalactosaminyltransferase activity [GO:0008376]; acetylglucosaminyltransferase activity [GO:0008375]; beta-1,4-mannosylglycolipid beta-1,3-N-acetylglucosaminyltransferase activity [GO:0046981]; ganglioside galactosyltransferase activity [GO:0047915]; N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase activity [GO:0008532]
Q24168	reviewed	chromatin binding [GO:0003682]; DNA replication origin binding [GO:0003688]
Q24169	reviewed	ATP binding [GO:0005524]; DNA replication origin binding [GO:0003688]
Q24173	unreviewed	CAAX-protein geranylgeranyltransferase activity [GO:0004662]
Q8SX21	unreviewed	iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; peptidyl-proline 4-dioxygenase activity [GO:0031545]; peptidyl-proline dioxygenase activity [GO:0031543]; zinc ion binding [GO:0008270]
Q9VYG7	unreviewed	
Q9VT70	reviewed	microtubule binding [GO:0008017]
Q9VKI3	reviewed	structural constituent of vitelline membrane [GO:0008316]
Q9VZX1	reviewed	growth factor activity [GO:0008083]; receptor ligand activity [GO:0048018]; Toll binding [GO:0005121]
Q9VFV2	unreviewed	
Q9VHY5	reviewed	DNA-binding transcription factor activity [GO:0003700]; histone acetyltransferase binding [GO:0035035]; transcription coactivator activity [GO:0003713]; transcription factor binding [GO:0008134]; transcription regulatory region DNA binding [GO:0044212]
Q9VG78	unreviewed	hydrolase activity, acting on acid anhydrides [GO:0016817]; metal ion binding [GO:0046872]
Q24239	reviewed	
Q9VDV4	unreviewed	intracellular calcium activated chloride channel activity [GO:0005229]; protein dimerization activity [GO:0046983]; temperature-gated ion channel activity [GO:0097603]; voltage-gated chloride channel activity [GO:0005247]
Q24246	reviewed	dynactin binding [GO:0034452]; dynein heavy chain binding [GO:0045504]; dynein light chain binding [GO:0045503]; motor activity [GO:0003774]
Q4V5A7	unreviewed	
Q9VR03	unreviewed	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]
Q7KT85	unreviewed	
Q9VQT5	unreviewed	serine-type endopeptidase inhibitor activity [GO:0004867]
Q24266	reviewed	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]; transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding [GO:0003705]; transcription factor binding [GO:0008134]
Q27393	unreviewed	ATP binding [GO:0005524]; histone serine kinase activity [GO:0035174]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein serine/threonine kinase activity [GO:0004674]
Q9VA38	reviewed	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]
Q9VMG8	unreviewed	
Q9VUX9	unreviewed	endopeptidase activity [GO:0004175]; hydrolase activity [GO:0016787]; threonine-type endopeptidase activity [GO:0004298]
Q24297	reviewed	RNA binding [GO:0003723]
Q9VI10	reviewed	RNA binding [GO:0003723]
Q9VLV5	reviewed	RNA binding [GO:0003723]
Q9VRT7	unreviewed	RNA binding [GO:0003723]
Q24298	reviewed	beta-catenin binding [GO:0008013]; calcium ion binding [GO:0005509]; myosin binding [GO:0017022]; protein homodimerization activity [GO:0042803]
Q24307	reviewed	caspase binding [GO:0089720]; cysteine-type endopeptidase inhibitor activity involved in apoptotic process [GO:0043027]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]
Q8IQI0	unreviewed	
Q8SX89	unreviewed	
Q94538	unreviewed	netrin receptor activity [GO:0005042]
Q9VAR6	unreviewed	
Q9VBG6	reviewed	
Q9VKI2	unreviewed	
Q9VLI2	unreviewed	alpha-mannosidase activity [GO:0004559]; carbohydrate binding [GO:0030246]; metal ion binding [GO:0046872]
Q9VLM6	unreviewed	
Q9VQ58	unreviewed	
Q9VXU3	unreviewed	
Q9W1T4	unreviewed	mRNA binding [GO:0003729]; poly-pyrimidine tract binding [GO:0008187]; pre-mRNA 3'-splice site binding [GO:0030628]; RNA binding [GO:0003723]
Q9W4V0	unreviewed	
Q7K1J3	unreviewed	GABA receptor binding [GO:0050811]; protein tag [GO:0031386]
Q24317	reviewed	DNA-directed DNA polymerase activity [GO:0003887]; DNA primase activity [GO:0003896]; metal ion binding [GO:0046872]; single-stranded DNA binding [GO:0003697]
Q27368	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein dimerization activity [GO:0046983]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001078]; RNA polymerase II regulatory region DNA binding [GO:0001012]; sequence-specific DNA binding [GO:0043565]; transcription factor binding [GO:0008134]
Q7JY99	unreviewed	glycerol kinase activity [GO:0004370]
Q8SYD0	reviewed	
Q24319	reviewed	transferase activity, transferring glycosyl groups [GO:0016757]
Q7KVL6	unreviewed	actin filament binding [GO:0051015]
Q86P48	reviewed	DNA binding [GO:0003677]; metal ion binding [GO:0046872]
Q8IN81	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]
Q9VHZ9	unreviewed	
Q9VM21	reviewed	
Q9VND7	unreviewed	mRNA binding [GO:0003729]; RNA binding [GO:0003723]
Q9VVN2	reviewed	structural constituent of ribosome [GO:0003735]
Q9VZ32	unreviewed	hydrolase activity, acting on ester bonds [GO:0016788]; metal ion binding [GO:0046872]; nucleoside-diphosphatase activity [GO:0017110]; nucleoside-triphosphatase activity [GO:0017111]; nucleotide binding [GO:0000166]; uridine-diphosphatase activity [GO:0045134]
Q24368	reviewed	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-dependent ATPase activity [GO:0008094]; DNA helicase activity [GO:0003678]; nucleosome binding [GO:0031491]; nucleosome-dependent ATPase activity [GO:0070615]; nucleotide binding [GO:0000166]; transcription factor binding [GO:0008134]
Q24371	reviewed	
Q24389	unreviewed	
Q4V6I0	unreviewed	acylphosphatase activity [GO:0003998]
Q8T3Y1	unreviewed	metal ion binding [GO:0046872]; unmethylated CpG binding [GO:0045322]
Q9VFJ1	unreviewed	
Q9VIE3	unreviewed	metal ion binding [GO:0046872]
Q9VIP0	reviewed	carbohydrate binding [GO:0030246]
Q9VMB9	unreviewed	cytochrome-c oxidase activity [GO:0004129]
Q9VNP8	unreviewed	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]
Q9W1I9	reviewed	
Q9W2A3	unreviewed	
Q95RU8	unreviewed	histone-lysine N-methyltransferase activity [GO:0018024]; zinc ion binding [GO:0008270]
Q9V4D8	unreviewed	double-stranded DNA binding [GO:0003690]; pyrimidine-specific mismatch base pair DNA N-glycosylase activity [GO:0008263]; uracil DNA N-glycosylase activity [GO:0004844]
Q9VLM3	unreviewed	amino acid transmembrane transporter activity [GO:0015171]
Q9VXW7	unreviewed	DNA-binding transcription factor activity [GO:0003700]; juvenile hormone binding [GO:0005500]; juvenile hormone receptor activity [GO:0004880]; protein heterodimerization activity [GO:0046982]; transcription factor binding [GO:0008134]
Q24407	reviewed	proton transmembrane transporter activity [GO:0015078]
Q9W4X9	reviewed	Rab GTPase binding [GO:0017137]
Q9VV23	unreviewed	
Q9W423	unreviewed	DNA binding [GO:0003677]; sphingosine N-acyltransferase activity [GO:0050291]
Q7JWE2	unreviewed	
Q24439	reviewed	proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]
Q9VGF5	unreviewed	
Q9VVZ8	unreviewed	calcium channel activity [GO:0005262]; calcium ion binding [GO:0005509]
Q9VYB7	reviewed	protein-tyrosine sulfotransferase activity [GO:0008476]
Q24451	reviewed	alpha-mannosidase activity [GO:0004559]; carbohydrate binding [GO:0030246]; mannosidase activity [GO:0015923]; mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase activity [GO:0004572]; metal ion binding [GO:0046872]
Q24459	reviewed	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; methylated histone binding [GO:0035064]; sequence-specific DNA binding [GO:0043565]
Q9VAF5	reviewed	calcium ion binding [GO:0005509]; myosin binding [GO:0017022]
Q24468	unreviewed	activin-activated receptor activity [GO:0017002]; activin binding [GO:0048185]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; transforming growth factor beta-activated receptor activity [GO:0005024]; transforming growth factor beta receptor activity, type II [GO:0005026]
Q6AWG9	reviewed	DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; transcription regulatory region DNA binding [GO:0044212]
Q9U5W6	unreviewed	
Q9VGW4	unreviewed	
Q9VI25	reviewed	
Q9VN44	unreviewed	nuclear localization sequence binding [GO:0008139]
Q9VRY4	unreviewed	SUMO-specific endopeptidase activity [GO:0070139]; SUMO-specific isopeptidase activity [GO:0070140]
Q9VSD6	unreviewed	protein transporter activity [GO:0008565]; Ran GTPase binding [GO:0008536]; U1 snRNA binding [GO:0030619]; U2 snRNA binding [GO:0030620]; U4 snRNA binding [GO:0030621]
Q9VVG0	unreviewed	calcium ion binding [GO:0005509]; protein homodimerization activity [GO:0042803]
Q24492	reviewed	damaged DNA binding [GO:0003684]; metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]; single-stranded DNA binding [GO:0003697]; single-stranded telomeric DNA binding [GO:0043047]
Q24498	reviewed	calcium-induced calcium release activity [GO:0048763]; calcium ion binding [GO:0005509]; ryanodine-sensitive calcium-release channel activity [GO:0005219]
Q9VZ49	reviewed	endoribonuclease activity [GO:0004521]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]
Q86BM8	unreviewed	structural constituent of ribosome [GO:0003735]
Q9VJQ0	unreviewed	
Q9VTC7	unreviewed	structural constituent of chitin-based larval cuticle [GO:0008010]
Q9VID9	unreviewed	histone acetyltransferase activity [GO:0004402]; histone acetyltransferase activity (H4-K16 specific) [GO:0046972]; histone binding [GO:0042393]; metal ion binding [GO:0046872]
Q9VSW4	unreviewed	ribosomal large subunit binding [GO:0043023]
Q9VJY3	unreviewed	
Q8IQ43	unreviewed	
Q9VE30	unreviewed	protein tyrosine phosphatase activity [GO:0004725]
Q9VFA8	unreviewed	
Q9VKA7	unreviewed	integrin binding [GO:0005178]
Q9VYB1	unreviewed	
Q9W409	unreviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; zinc ion binding [GO:0008270]
Q24562	reviewed	mRNA binding [GO:0003729]; poly-pyrimidine tract binding [GO:0008187]; pre-mRNA 3'-splice site binding [GO:0030628]; RNA binding [GO:0003723]
Q9VTC1	unreviewed	ATP binding [GO:0005524]; helicase activity [GO:0004386]; nucleic acid binding [GO:0003676]
Q7JPS2	unreviewed	calmodulin binding [GO:0005516]
Q7JXG9	unreviewed	
Q7KMM8	unreviewed	microtubule plus-end binding [GO:0051010]
Q8MQX7	unreviewed	metal ion binding [GO:0046872]
Q8MSK1	unreviewed	
Q95S08	unreviewed	
Q9V3A8	unreviewed	mannose binding [GO:0005537]
Q9V3C2	unreviewed	GTPase activity [GO:0003924]; GTP binding [GO:0005525]
Q9V3J9	unreviewed	
Q9V3X8	unreviewed	proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001078]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]
Q9VAP9	unreviewed	
Q9VBX7	unreviewed	
Q9VCD8	unreviewed	ATP binding [GO:0005524]; chromatin binding [GO:0003682]; protein heterodimerization activity [GO:0046982]
Q9VDT3	unreviewed	ATPase activity, coupled to transmembrane movement of substances [GO:0042626]; ATP binding [GO:0005524]
Q9VEW6	unreviewed	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]
Q9VFU8	unreviewed	cytoskeletal protein binding [GO:0008092]
Q9VHP3	unreviewed	mRNA binding [GO:0003729]; RNA binding [GO:0003723]
Q9VJ74	unreviewed	ATP binding [GO:0005524]; ATP-dependent RNA helicase activity [GO:0004004]; nucleic acid binding [GO:0003676]
Q9VK44	unreviewed	ubiquitin-ubiquitin ligase activity [GO:0034450]
Q9VLN6	unreviewed	ATPase activity, coupled to transmembrane movement of substances [GO:0042626]; ATP binding [GO:0005524]
Q9VM93	unreviewed	
Q9VPY9	unreviewed	chaperone binding [GO:0051087]; unfolded protein binding [GO:0051082]
Q9VQZ7	unreviewed	
Q9VRH6	reviewed	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; ribosome binding [GO:0043022]
Q9VT38	unreviewed	nucleic acid binding [GO:0003676]
Q9VVK8	unreviewed	ATP binding [GO:0005524]; ATP-dependent RNA helicase activity [GO:0004004]; nucleic acid binding [GO:0003676]
Q9VW28	unreviewed	DNA binding [GO:0003677]
Q9VWL4	unreviewed	DNA binding [GO:0003677]
Q9VXU2	unreviewed	Rab GTPase binding [GO:0017137]
Q9VXY2	reviewed	Rab guanyl-nucleotide exchange factor activity [GO:0017112]
Q9W425	unreviewed	
X2JAX8	unreviewed	lipid binding [GO:0008289]; phospholipid binding [GO:0005543]
Q24567	reviewed	
Q86NU8	unreviewed	intramolecular transferase activity, phosphotransferases [GO:0016868]; magnesium ion binding [GO:0000287]
Q8SXF0	unreviewed	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
Q9NII1	reviewed	double-stranded RNA adenosine deaminase activity [GO:0003726]; double-stranded RNA binding [GO:0003725]; metal ion binding [GO:0046872]; tRNA-specific adenosine deaminase activity [GO:0008251]
Q9VAD3	unreviewed	
Q24572	reviewed	histone acetyltransferase binding [GO:0035035]; histone binding [GO:0042393]; histone deacetylase binding [GO:0042826]; protein homodimerization activity [GO:0042803]
Q9VVJ7	unreviewed	disulfide oxidoreductase activity [GO:0015036]
Q24583	reviewed	ATPase coupled ion transmembrane transporter activity [GO:0042625]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]
Q24591	unreviewed	transmembrane signaling receptor activity [GO:0004888]
Q24595	reviewed	damaged DNA binding [GO:0003684]; single-stranded DNA binding [GO:0003697]
Q27237	reviewed	ATP binding [GO:0005524]; heat shock protein binding [GO:0031072]; metal ion binding [GO:0046872]; patched binding [GO:0005113]; unfolded protein binding [GO:0051082]
Q8MR16	unreviewed	oxidoreductase activity [GO:0016491]
Q27268	reviewed	ATP binding [GO:0005524]; ATP-dependent RNA helicase activity [GO:0004004]; RNA binding [GO:0003723]
Q9V431	reviewed	
Q27324	reviewed	ATP binding [GO:0005524]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; transmembrane signaling receptor activity [GO:0004888]; Wnt-activated receptor activity [GO:0042813]; Wnt-protein binding [GO:0017147]
Q27333	reviewed	mannosyltransferase activity [GO:0000030]
Q7K0Y1	reviewed	ribonucleoprotein complex binding [GO:0043021]
Q7K4L8	unreviewed	ATP binding [GO:0005524]; helicase activity [GO:0004386]; RNA binding [GO:0003723]
Q7KT91	reviewed	beta-glucosidase activity [GO:0008422]; glucosylceramidase activity [GO:0004348]
Q95TY2	unreviewed	transcription factor binding [GO:0008134]
Q9VNI3	reviewed	poly-ADP-D-ribose binding [GO:0072572]; zinc ion binding [GO:0008270]
Q27367	reviewed	scavenger receptor activity [GO:0005044]
Q27411	unreviewed	
Q27415	reviewed	chromatin binding [GO:0003682]; histone binding [GO:0042393]
Q9V818	reviewed	G protein-coupled receptor activity [GO:0004930]
Q7PL83	unreviewed	RNA binding [GO:0003723]
Q9VEG9	reviewed	
Q9VWD6	reviewed	metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; N(6)-L-threonylcarbamoyladenine synthase activity [GO:0061711]
Q27594	reviewed	heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]
Q9VST4	unreviewed	ATP binding [GO:0005524]; kinase activity [GO:0016301]
Q9W2Q5	unreviewed	calcium ion binding [GO:0005509]; phosphoprotein phosphatase activity [GO:0004721]
Q27597	reviewed	flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; NADP binding [GO:0050661]; NADPH-hemoprotein reductase activity [GO:0003958]; oxidoreductase activity [GO:0016491]
Q27606	reviewed	heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]
Q7JYH3	unreviewed	
Q27884	reviewed	metal ion binding [GO:0046872]; protein serine/threonine phosphatase activity [GO:0004722]
Q9V730	reviewed	acetylglucosaminyltransferase activity [GO:0008375]; glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity [GO:0050508]; glucuronosyltransferase activity [GO:0015020]; metal ion binding [GO:0046872]; N-acetylglucosaminyl-proteoglycan 4-beta-glucuronosyltransferase activity [GO:0050509]
Q8MQK4	unreviewed	ATP binding [GO:0005524]; uridine kinase activity [GO:0004849]
Q8SWU7	reviewed	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]; ribosomal large subunit binding [GO:0043023]; ribosome binding [GO:0043022]
Q29QP5	unreviewed	
Q29QQ9	unreviewed	AU-rich element binding [GO:0017091]; hydrolase activity [GO:0016787]
Q9VW53	unreviewed	
Q29R09	unreviewed	ubiquitin conjugating enzyme activity [GO:0061631]; ubiquitin-protein transferase activity [GO:0004842]
Q9VYY3	reviewed	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; UFM1 activating enzyme activity [GO:0071566]
T1W131	unreviewed	ubiquitin-like modifier activating enzyme activity [GO:0008641]
